Private,Public
8577,14715
19104,18307
15720,21461
19135,11915
15521,17000
21506,20077
16723,15679
20677,21869
25528,22918
22197,23056
21238,18929
23485,23396
25167,23500
20849,23588
23051,24611
26157,25028
24243,24628
23067,24978
21291,25174
21067,25797
26983,24074
27237,24100
24394,24127
26185,25596
28048,25824
27925,25660
36546,25678
30873,26087
24702,25180
19000,25464
27407,26401
33588,26357
29459,26912
29547,26300
33792,26580
30850,26696
34940,26899
22364,27483
32040,27592
33081,28179
30480,27488
23772,27307
30742,26972
31622,28095
30879,28509
31444,28220
32077,28276
25770,28905
26321,28999
28149,29049
28562,28272
34820,29182
30569,29334
32394,29605
26451,28768
28953,29448
35740,29805
33487,29677
25621,29349
26722,29844
25069,29885
22543,30006
29947,30087
32943,30060
35520,30123
28464,30017
37048,30034
34865,30234
31000,30578
31013,30818
37008,30391
30487,30091
29297,30994
31784,32968
39167,31255
29455,31711
30830,31400
36500,31535
28093,31373
30826,31571
32071,31681
27857,32170
38198,32368
40365,32438
28598,32517
32131,33320
28477,31006
29000,32771
34803,33193
35627,33312
34375,32873
33870,35958
36626,36031
40403,42045
30658,34015
37740,34270
38780,40994
36625,38101
40721,39972
39771,41372
